validated_call_id,mmsi,imo,vessel_name,terminal_id,berth_zone_code,berth_arrival_time,berth_departure_time,berth_duration_minutes,expected_duration_minutes,duration_variance_minutes,estimated_delay_minutes,estimated_delay_hours,delay_band,delay_quality,baseline_scope,baseline_sample_size,berth_detection_confidence,berth_continuity,movement_coverage,inbound_transit_minutes,outbound_transit_minutes,arrival_metric_date,arrival_day_terminal_arrivals,arrival_day_terminal_departures,arrival_day_max_occupied_berths,arrival_day_terminal_utilisation_pct,arrival_day_mean_occupied_berths
15,538009151,9878723,CELSIUS CAROLINA,1,SPL_BERTH_2,2023-01-13 08:37:46+00:00,2023-01-15 05:59:50+00:00,2722.0666666666666,2694.35,27.716666666666697,27.716666666666697,0.46194444444444493,normal,usable,berth,7,high,continuous,full,34.166666666666664,21.5,2023-01-13,2,1,3,75.24807098765432,2.2574421296296294
16,241579000,9767950,MARAN GAS SPETSES,1,SPL_BERTH_1,2023-01-13 23:36:53+00:00,2023-01-15 23:11:27+00:00,2854.5666666666666,2557.2,297.3666666666668,297.3666666666668,4.956111111111113,elevated,usable,berth,11,high,continuous,full,28.85,18.65,2023-01-13,2,1,3,75.24807098765432,2.2574421296296294
17,538005753,9501186,ADAM LNG,1,SPL_BERTH_2,2023-01-15 11:31:57+00:00,2023-01-18 14:27:50+00:00,4495.883333333333,2694.35,1801.5333333333333,1801.5333333333333,30.025555555555556,severe,usable,berth,7,high,continuous,full,34.833333333333336,23.15,2023-01-15,1,2,2,57.85493827160494,1.735648148148148
18,636021030,9878876,MU LAN,1,SPL_BERTH_1,2023-01-16 07:32:07+00:00,2023-01-18 19:24:27+00:00,3592.3333333333335,2557.2,1035.1333333333337,1035.1333333333337,17.252222222222226,severe,usable,berth,11,high,continuous,full,30.833333333333332,19.316666666666666,2023-01-16,1,0,2,56.20100308641975,1.6860300925925926
19,538009123,9864796,CELSIUS CANBERRA,1,SPL_BERTH_3,2023-01-17 01:29:16+00:00,2023-01-19 16:13:50+00:00,3764.5666666666666,2844.5333333333333,920.0333333333333,920.0333333333333,15.333888888888888,severe,usable,berth,9,high,continuous,full,30.466666666666665,19.0,2023-01-17,1,0,3,97.93364197530865,2.9380092592592595
20,477096200,9750220,PAN ASIA,1,SPL_BERTH_2,2023-01-18 17:46:01+00:00,2023-01-20 08:15:09+00:00,2309.133333333333,2694.35,-385.2166666666667,0.0,0.0,normal,usable,berth,7,high,continuous,full,35.516666666666666,21.016666666666666,2023-01-18,1,2,3,89.03395061728395,2.6710185185185185
21,563092200,9850666,BW MAGNOLIA,1,SPL_BERTH_1,2023-01-19 07:58:56+00:00,2023-01-21 02:36:08+00:00,2557.2,2557.2,0.0,0.0,0.0,normal,usable,berth,11,high,continuous,full,32.0,20.333333333333332,2023-01-19,1,1,3,78.12268518518519,2.3436805555555558
22,538002656,9253105,GOLAR ARCTIC,1,SPL_BERTH_3,2023-01-20 06:34:48+00:00,2023-01-22 08:56:54+00:00,3022.1,2844.5333333333333,177.5666666666666,177.5666666666666,2.9594444444444434,normal,usable,berth,9,high,minor_gaps,full,27.666666666666668,20.866666666666667,2023-01-20,1,1,3,68.98958333333333,2.0696875
23,215578000,9863182,DORADO LNG,1,SPL_BERTH_2,2023-01-21 01:35:34+00:00,2023-01-22 22:29:55+00:00,2694.35,2694.35,0.0,0.0,0.0,normal,usable,berth,7,high,minor_gaps,full,35.983333333333334,22.166666666666668,2023-01-21,2,1,3,90.79282407407408,2.7237847222222222
24,538003804,9303560,GOLAR GRAND,1,SPL_BERTH_1,2023-01-21 07:38:19+00:00,2023-01-23 05:18:27+00:00,2740.133333333333,2557.2,182.9333333333334,182.9333333333334,3.04888888888889,normal,usable,berth,11,high,minor_gaps,full,29.666666666666668,21.85,2023-01-21,2,1,3,90.79282407407408,2.7237847222222222
25,224072000,9414632,SEVILLA KNUTSEN,1,SPL_BERTH_3,2023-01-22 21:09:44+00:00,2023-01-23 23:13:53+00:00,1564.15,2844.5333333333333,-1280.3833333333332,0.0,0.0,normal,usable,berth,9,high,continuous,full,30.833333333333332,25.183333333333334,2023-01-22,1,2,3,80.95100308641975,2.4285300925925926
26,538009405,9880465,GLOBAL SEA SPIRIT,1,SPL_BERTH_2,2023-01-23 04:08:31+00:00,2023-01-25 20:49:44+00:00,3881.2166666666667,2694.35,1186.8666666666668,1186.8666666666668,19.781111111111112,elevated,usable,berth,7,high,continuous,full,37.71666666666667,20.683333333333334,2023-01-23,2,2,3,69.90470679012346,2.097141203703704
27,310657000,9626273,GASLOG SYDNEY,1,SPL_BERTH_1,2023-01-23 22:03:56+00:00,2023-01-25 21:51:37+00:00,2867.6833333333334,2557.2,310.4833333333336,310.4833333333336,5.174722222222226,elevated,usable,berth,11,high,continuous,full,44.18333333333333,23.35,2023-01-23,2,2,3,69.90470679012346,2.097141203703704
28,229416000,9886744,CLEAN COPANO,1,SPL_BERTH_3,2023-01-24 03:57:29+00:00,2023-01-26 14:08:57+00:00,3491.4666666666667,2844.5333333333333,646.9333333333334,646.9333333333334,10.782222222222224,elevated,usable,berth,9,high,minor_gaps,full,33.333333333333336,17.15,2023-01-24,1,0,3,94.50270061728395,2.8350810185185185
29,310795000,9855812,GASLOG WESTMINSTER,1,SPL_BERTH_1,2023-01-26 12:48:58+00:00,2023-01-28 01:10:10+00:00,2181.2,2557.2,-376.0,0.0,0.0,normal,usable,berth,11,high,continuous,full,52.516666666666666,26.983333333333334,2023-01-26,1,1,2,35.18479938271605,1.0555439814814815
30,370983000,9372999,HYUNDAI ECOPIA,1,SPL_BERTH_3,2023-01-27 12:42:23+00:00,2023-01-28 10:59:42+00:00,1337.3166666666666,2844.5333333333333,-1507.2166666666667,0.0,0.0,normal,usable,berth,9,high,continuous,inbound_only,41.166666666666664,,2023-01-27,2,0,3,59.10686728395062,1.7732060185185186
31,310773000,9748904,GASLOG HONGKONG,1,SPL_BERTH_2,2023-01-27 16:44:12+00:00,2023-01-29 10:19:22+00:00,2495.1666666666665,2694.35,-199.1833333333334,0.0,0.0,unscored,review,berth,7,high,review,full,39.5,18.366666666666667,2023-01-27,2,0,3,59.10686728395062,1.7732060185185186
32,310779000,9744025,GASLOG GLADSTONE,1,SPL_BERTH_1,2023-01-28 20:00:01+00:00,2023-01-30 23:59:59+00:00,3119.9666666666667,2557.2,562.7666666666669,562.7666666666669,9.379444444444449,unscored,censored,berth,11,high,continuous,berth_only,,,2023-01-28,0,1,3,55.78356481481482,1.6735069444444444
33,357315000,9771913,LNG SCHNEEWEISSCHEN,1,SPL_BERTH_3,2023-01-29 04:35:07+00:00,2023-01-30 23:58:23+00:00,2603.266666666667,2844.5333333333333,-241.26666666666642,0.0,0.0,unscored,censored,berth,9,high,continuous,inbound_only,28.983333333333334,,2023-01-29,2,1,3,88.64043209876543,2.659212962962963
34,311001111,9903920,GRACE FREESIA,1,SPL_BERTH_2,2023-01-29 13:54:59+00:00,2023-01-30 23:58:00+00:00,2043.0166666666667,2694.35,-651.3333333333333,0.0,0.0,unscored,censored,berth,7,high,continuous,inbound_only,39.666666666666664,,2023-01-29,2,1,3,88.64043209876543,2.659212962962963
