metric_date,risk_score,risk_level,score_confidence,risk_change_1d,previous_risk_level,risk_trend,primary_driver,primary_driver_points,secondary_driver,secondary_driver_points,tertiary_driver,tertiary_driver_points,risk_headline,risk_explanation,terminal_utilisation_pct,max_occupied_berths,active_calls,active_delayed_calls,active_severe_calls,active_mean_delay_hours,utilisation_3d_avg,arrivals_3d,departures_3d,vessel_balance_3d,capacity_points,saturation_points,active_delay_points,active_severe_points,delay_intensity_points,utilisation_3d_points,backlog_points
2023-01-11,21.0,low,high,-8.2,moderate,falling,Terminal utilisation 38.4%,7.7,2 of 3 berths occupied at peak,6.7,Trailing 3-day utilisation 44.1%,6.6,LOW — 21.0 / 100,Primary drivers: Terminal utilisation 38.4%; 2 of 3 berths occupied at peak; Trailing 3-day utilisation 44.1%,38.39969135802469,2,2,0,0,,44.092721193415635,2.0,3.0,-1.0,7.7,6.7,0.0,0.0,0.0,6.6,0.0
2023-01-12,35.9,moderate,high,14.9,low,rising_fast,Terminal utilisation 70.5%,14.1,All 3 berths occupied at peak,10.0,Trailing 3-day utilisation 45.3%,6.8,MODERATE — 35.9 / 100,Primary drivers: Terminal utilisation 70.5%; All 3 berths occupied at peak; Trailing 3-day utilisation 45.3%,70.51697530864197,3,4,0,0,,45.34130658436214,4.0,3.0,1.0,14.1,10.0,0.0,0.0,0.0,6.8,5.0
2023-01-13,44.3,moderate,high,8.4,moderate,rising,Terminal utilisation 75.2%,15.0,3-day net vessel balance +2,10.0,All 3 berths occupied at peak,10.0,MODERATE — 44.3 / 100,Primary drivers: Terminal utilisation 75.2%; 3-day net vessel balance +2; All 3 berths occupied at peak,75.24807098765432,3,4,0,0,,61.38824588477366,5.0,3.0,2.0,15.0,10.0,0.0,0.0,0.0,9.2,10.0
2023-01-14,48.4,moderate,high,4.1,moderate,rising,Terminal utilisation 86.0%,17.2,Trailing 3-day utilisation 77.2%,11.6,All 3 berths occupied at peak,10.0,MODERATE — 48.4 / 100,Primary drivers: Terminal utilisation 86.0%; Trailing 3-day utilisation 77.2%; All 3 berths occupied at peak,85.96566358024691,3,3,1,0,7.126666666666665,77.24356995884774,4.0,4.0,0.0,17.2,10.0,6.7,0.0,3.0,11.6,0.0
2023-01-15,52.8,elevated,high,4.4,moderate,rising,2 active call(s) above normal-duration threshold,13.3,Terminal utilisation 57.9%,11.6,Trailing 3-day utilisation 73.0%,11.0,ELEVATED — 52.8 / 100,Primary drivers: 2 active call(s) above normal-duration threshold; Terminal utilisation 57.9%; Trailing 3-day utilisation 73.0%,57.85493827160494,2,3,2,1,12.600555555555555,73.02289094650206,3.0,4.0,-1.0,11.6,6.7,13.3,5.0,5.3,11.0,0.0
2023-01-16,27.9,moderate,high,-24.9,elevated,falling_fast,Terminal utilisation 56.2%,11.2,Trailing 3-day utilisation 66.7%,10.0,2 of 3 berths occupied at peak,6.7,MODERATE — 27.9 / 100,Primary drivers: Terminal utilisation 56.2%; Trailing 3-day utilisation 66.7%; 2 of 3 berths occupied at peak,56.20100308641975,2,2,0,0,,66.67386831275721,2.0,3.0,-1.0,11.2,6.7,0.0,0.0,0.0,10.0,0.0
2023-01-17,64.3,elevated,high,36.4,moderate,rising_fast,Terminal utilisation 97.9%,19.6,Trailing 3-day utilisation 70.7%,10.6,All 3 berths occupied at peak,10.0,ELEVATED — 64.3 / 100,Primary drivers: Terminal utilisation 97.9%; Trailing 3-day utilisation 70.7%; All 3 berths occupied at peak,97.93364197530865,3,3,1,1,17.972500000000007,70.66319444444444,3.0,2.0,1.0,19.6,10.0,6.7,5.0,7.5,10.6,5.0
2023-01-18,72.5,high,high,8.2,elevated,rising,Terminal utilisation 89.0%,17.8,Trailing 3-day utilisation 81.1%,12.2,2 active call(s) above normal-duration threshold,10.0,HIGH — 72.5 / 100,Primary drivers: Terminal utilisation 89.0%; Trailing 3-day utilisation 81.1%; 2 active call(s) above normal-duration threshold,89.03395061728395,3,4,2,2,29.41916666666667,81.05619855967078,3.0,2.0,1.0,17.8,10.0,10.0,7.5,10.0,12.2,5.0
2023-01-19,58.2,elevated,high,-14.3,high,falling_fast,Terminal utilisation 78.1%,15.6,Trailing 3-day utilisation 88.4%,13.3,All 3 berths occupied at peak,10.0,ELEVATED — 58.2 / 100,Primary drivers: Terminal utilisation 78.1%; Trailing 3-day utilisation 88.4%; All 3 berths occupied at peak,78.12268518518519,3,3,1,1,18.33527777777778,88.36342592592592,3.0,3.0,0.0,15.6,10.0,6.7,5.0,7.6,13.3,0.0
2023-01-20,35.6,moderate,high,-22.6,elevated,falling_fast,Terminal utilisation 69.0%,13.8,Trailing 3-day utilisation 78.7%,11.8,All 3 berths occupied at peak,10.0,MODERATE — 35.6 / 100,Primary drivers: Terminal utilisation 69.0%; Trailing 3-day utilisation 78.7%; All 3 berths occupied at peak,68.98958333333333,3,3,0,0,,78.71540637860082,3.0,4.0,-1.0,13.8,10.0,0.0,0.0,0.0,11.8,0.0
2023-01-21,45.1,moderate,high,9.5,moderate,rising,Terminal utilisation 90.8%,18.2,Trailing 3-day utilisation 79.3%,11.9,All 3 berths occupied at peak,10.0,MODERATE — 45.1 / 100,Primary drivers: Terminal utilisation 90.8%; Trailing 3-day utilisation 79.3%; All 3 berths occupied at peak,90.79282407407408,3,4,0,0,,79.3016975308642,4.0,3.0,1.0,18.2,10.0,0.0,0.0,0.0,11.9,5.0
2023-01-22,38.2,moderate,high,-6.9,moderate,falling,Terminal utilisation 81.0%,16.2,Trailing 3-day utilisation 80.2%,12.0,All 3 berths occupied at peak,10.0,MODERATE — 38.2 / 100,Primary drivers: Terminal utilisation 81.0%; Trailing 3-day utilisation 80.2%; All 3 berths occupied at peak,80.95100308641975,3,4,0,0,,80.24447016460906,4.0,4.0,0.0,16.2,10.0,0.0,0.0,0.0,12.0,0.0
2023-01-23,42.8,moderate,high,4.6,moderate,rising,Terminal utilisation 69.9%,14.0,Trailing 3-day utilisation 80.5%,12.1,All 3 berths occupied at peak,10.0,MODERATE — 42.8 / 100,Primary drivers: Terminal utilisation 69.9%; Trailing 3-day utilisation 80.5%; All 3 berths occupied at peak,69.90470679012346,3,4,1,0,4.217777777777777,80.54951131687243,5.0,5.0,0.0,14.0,10.0,5.0,0.0,1.8,12.1,0.0
2023-01-24,41.2,moderate,high,-1.6,moderate,stable,Terminal utilisation 94.5%,18.9,Trailing 3-day utilisation 81.8%,12.3,All 3 berths occupied at peak,10.0,MODERATE — 41.2 / 100,Primary drivers: Terminal utilisation 94.5%; Trailing 3-day utilisation 81.8%; All 3 berths occupied at peak,94.50270061728395,3,3,0,0,,81.78613683127573,4.0,4.0,0.0,18.9,10.0,0.0,0.0,0.0,12.3,0.0
2023-01-25,60.2,elevated,high,19.0,moderate,rising_fast,Terminal utilisation 92.6%,18.5,2 active call(s) above normal-duration threshold,13.3,Trailing 3-day utilisation 85.7%,12.9,ELEVATED — 60.2 / 100,Primary drivers: Terminal utilisation 92.6%; 2 active call(s) above normal-duration threshold; Trailing 3-day utilisation 85.7%,92.6238425925926,3,3,2,0,13.232708333333338,85.67708333333333,3.0,4.0,-1.0,18.5,10.0,13.3,0.0,5.5,12.9,0.0
2023-01-26,39.9,moderate,high,-20.3,elevated,falling_fast,Trailing 3-day utilisation 74.1%,11.1,1 active call(s) above normal-duration threshold,10.0,Terminal utilisation 35.2%,7.0,MODERATE — 39.9 / 100,Primary drivers: Trailing 3-day utilisation 74.1%; 1 active call(s) above normal-duration threshold; Terminal utilisation 35.2%,35.18479938271605,2,2,1,0,12.282916666666665,74.10378086419753,2.0,3.0,-1.0,7.0,6.7,10.0,0.0,5.1,11.1,0.0
2023-01-27,31.2,moderate,medium,-8.7,moderate,falling,Terminal utilisation 59.1%,11.8,All 3 berths occupied at peak,10.0,Trailing 3-day utilisation 62.3%,9.3,MODERATE — 31.2 / 100,Primary drivers: Terminal utilisation 59.1%; All 3 berths occupied at peak; Trailing 3-day utilisation 62.3%,59.10686728395062,3,3,0,0,,62.30516975308642,3.0,3.0,0.0,11.8,10.0,0.0,0.0,0.0,9.3,0.0
2023-01-28,33.7,moderate,medium,2.5,moderate,stable,Terminal utilisation 55.8%,11.2,All 3 berths occupied at peak,10.0,Trailing 3-day utilisation 50.0%,7.5,MODERATE — 33.7 / 100,Primary drivers: Terminal utilisation 55.8%; All 3 berths occupied at peak; Trailing 3-day utilisation 50.0%,55.78356481481482,3,4,0,0,,50.02507716049383,3.0,2.0,1.0,11.2,10.0,0.0,0.0,0.0,7.5,5.0
2023-01-29,47.9,moderate,medium,14.2,moderate,rising_fast,Terminal utilisation 88.6%,17.7,Trailing 3-day utilisation 67.8%,10.2,3-day net vessel balance +2,10.0,MODERATE — 47.9 / 100,Primary drivers: Terminal utilisation 88.6%; Trailing 3-day utilisation 67.8%; 3-day net vessel balance +2,88.64043209876543,3,4,0,0,,67.84362139917695,4.0,2.0,2.0,17.7,10.0,0.0,0.0,0.0,10.2,10.0
2023-01-30,52.8,elevated,high,4.9,moderate,rising,Terminal utilisation 99.9%,20.0,Trailing 3-day utilisation 81.4%,12.2,All 3 berths occupied at peak,10.0,ELEVATED — 52.8 / 100,Primary drivers: Terminal utilisation 99.9%; Trailing 3-day utilisation 81.4%; All 3 berths occupied at peak,99.91589506172839,3,3,1,0,9.379444444444449,81.44663065843622,2.0,2.0,0.0,20.0,10.0,6.7,0.0,3.9,12.2,0.0
