metric_date,risk_score,risk_level,capacity_points,saturation_points,active_delay_points,active_severe_points,delay_intensity_points,utilisation_3d_points,backlog_points,terminal_utilisation_pct,max_occupied_berths,active_calls,active_scored_calls,active_unscored_calls,active_delayed_calls,active_severe_calls,active_mean_delay_hours,active_delay_share,active_severe_share,utilisation_3d_avg,arrivals_3d,departures_3d,vessel_balance_3d,delayed_departures,severe_departures,severe_departures_3d,data_coverage_score,score_confidence
2023-01-14,48.4,moderate,17.2,10.0,6.7,0.0,3.0,11.6,0.0,85.96566358024691,3,3,3,0,1,0,7.126666666666665,0.3333333333333333,0.0,77.24356995884774,4.0,4.0,0.0,0,0,0.0,1.0,high
2023-01-15,52.8,elevated,11.6,6.7,13.3,5.0,5.3,11.0,0.0,57.85493827160494,2,3,3,0,2,1,12.600555555555555,0.6666666666666666,0.3333333333333333,73.02289094650206,3.0,4.0,-1.0,1,0,0.0,1.0,high
2023-01-16,27.9,moderate,11.2,6.7,0.0,0.0,0.0,10.0,0.0,56.20100308641975,2,2,2,0,0,0,,0.0,0.0,66.67386831275721,2.0,3.0,-1.0,0,0,0.0,1.0,high
2023-01-17,64.3,elevated,19.6,10.0,6.7,5.0,7.5,10.6,5.0,97.93364197530865,3,3,3,0,1,1,17.972500000000007,0.3333333333333333,0.3333333333333333,70.66319444444444,3.0,2.0,1.0,0,0,0.0,1.0,high
2023-01-18,72.5,high,17.8,10.0,10.0,7.5,10.0,12.2,5.0,89.03395061728395,3,4,4,0,2,2,29.41916666666667,0.5,0.5,81.05619855967078,3.0,2.0,1.0,2,2,2.0,1.0,high
2023-01-19,58.2,elevated,15.6,10.0,6.7,5.0,7.6,13.3,0.0,78.12268518518519,3,3,3,0,1,1,18.33527777777778,0.3333333333333333,0.3333333333333333,88.36342592592592,3.0,3.0,0.0,1,1,3.0,1.0,high
2023-01-20,35.6,moderate,13.8,10.0,0.0,0.0,0.0,11.8,0.0,68.98958333333333,3,3,3,0,0,0,,0.0,0.0,78.71540637860082,3.0,4.0,-1.0,0,0,3.0,1.0,high
2023-01-21,45.1,moderate,18.2,10.0,0.0,0.0,0.0,11.9,5.0,90.79282407407408,3,4,4,0,0,0,,0.0,0.0,79.3016975308642,4.0,3.0,1.0,0,0,1.0,1.0,high
2023-01-22,38.2,moderate,16.2,10.0,0.0,0.0,0.0,12.0,0.0,80.95100308641975,3,4,4,0,0,0,,0.0,0.0,80.24447016460906,4.0,4.0,0.0,0,0,0.0,1.0,high
2023-01-23,42.8,moderate,14.0,10.0,5.0,0.0,1.8,12.1,0.0,69.90470679012346,3,4,4,0,1,0,4.217777777777777,0.25,0.0,80.54951131687243,5.0,5.0,0.0,0,0,0.0,1.0,high
2023-01-24,41.2,moderate,18.9,10.0,0.0,0.0,0.0,12.3,0.0,94.50270061728395,3,3,3,0,0,0,,0.0,0.0,81.78613683127573,4.0,4.0,0.0,0,0,0.0,1.0,high
2023-01-25,60.2,elevated,18.5,10.0,13.3,0.0,5.5,12.9,0.0,92.6238425925926,3,3,3,0,2,0,13.232708333333338,0.6666666666666666,0.0,85.67708333333333,3.0,4.0,-1.0,2,0,0.0,1.0,high
2023-01-26,39.9,moderate,7.0,6.7,10.0,0.0,5.1,11.1,0.0,35.18479938271605,2,2,2,0,1,0,12.282916666666665,0.5,0.0,74.10378086419753,2.0,3.0,-1.0,1,0,0.0,1.0,high
2023-01-27,31.2,moderate,11.8,10.0,0.0,0.0,0.0,9.3,0.0,59.10686728395062,3,3,2,1,0,0,,0.0,0.0,62.30516975308642,3.0,3.0,0.0,0,0,0.0,0.667,medium
2023-01-28,33.7,moderate,11.2,10.0,0.0,0.0,0.0,7.5,5.0,55.78356481481482,3,4,3,1,0,0,,0.0,0.0,50.02507716049383,3.0,2.0,1.0,0,0,0.0,0.75,medium
2023-01-29,47.9,moderate,17.7,10.0,0.0,0.0,0.0,10.2,10.0,88.64043209876543,3,4,3,1,0,0,,0.0,0.0,67.84362139917695,4.0,2.0,2.0,0,0,0.0,0.75,medium
2023-01-30,52.8,elevated,20.0,10.0,6.7,0.0,3.9,12.2,0.0,99.91589506172839,3,3,3,0,1,0,9.379444444444449,0.3333333333333333,0.0,81.44663065843622,2.0,2.0,0.0,0,0,0.0,1.0,high
